id,camaras,area,precio,habitaciones,banos,tamano,parqueos
2807745,9,14,875,1,1,70,1
2807736,8,14,1950,2,2,228,2
2807695,8,10,1100,2,2,75,2
2807636,51,Carretera a El Salvador,1266,2,2,165,2
2807576,5,1,5764500,3,3,65,1
2807461,7,10,1400,1,1,na,2
2807434,9,8,585,2,2,160,2
2807394,8,10,900,2,2,na,2
2807360,17,14,2200,2,2,295,2
2807276,9,14,3000,3,2.5,202,3
2807178,4,14,1500,2,3.5,193,2
2807001,51,1,520,2,1,60,1
2806947,16,16,3500,3,2,299,2
2806672,11,15,8800,3,1,99,2
2806464,45,10,1800,3,3,na,2
2806392,40,10,1800,3,3,na,2
2806255,13,16,1600,2,2,na,2
2806213,8,10,850,1,1,76,1
2806132,14,14,2200,2,2.5,160,2
2806089,9,Carretera a El Salvador,570,3,1,60,2
2806075,9,14,2200,2,2.5,295,2
2806049,17,16,2,3,2,na,2
2806009,14,14,2200,2,2.5,295,2
2805976,11,14,775,1,1.5,67,2
2805965,10,16,3800,4,3.5,338,4
2805945,11,14,2800,2,2.5,295,2
2805938,6,9,780,2,1,87,1
2805768,8,14,2200,2,2.5,295,2
2805696,12,4,580,1,1,40,1
2805695,14,14,2700,2,2.5,295,2
2805685,9,16,600,2,2,83,2
2805643,7,14,900,1,1,96,2
2805631,9,16,3800,3,3.5,338,4
2805620,10,10,950,2,na,na,0
2805607,8,11,6335000,2,2,65,1
2805581,6,10,850,1,1,76,1
2805502,12,10,6965500,2,1,43,1
2805454,10,7,6965500,3,2,105,2
2805297,7,Carretera a El Salvador,585,3,2,60,2
2805109,7,11,6752,2,2,65,1
2804991,13,14,2500,2,2.5,145,2
2804936,10,11,118000,2,2,55,2
2804883,11,Santa Elena Barillas,500,3,1,70,2
2804866,5,14,2200,2,2.5,152,2
2804841,13,Carretera a El Salvador,800,2,2,106,2
2804765,45,10,1550,3,2,113,2
2804726,45,14,2500,2,2.5,146,2
2804549,2,10,905,1,1.5,71,1
2804498,6,10,1100,2,2,na,2
2804765,45,10,1550,3,2,113,2
2804726,45,14,2500,2,2.5,146,2
2804549,2,10,905,1,1.5,71,1
2804498,6,10,1100,2,2,na,2
2804488,9,11,750,3,2,79,2
2804466,9,16,635,3,1,80,2
2804347,12,10,664,2,2,110,1
2804340,6,14,900,2,1,70,2
2804321,12,10,1600,3,2,na,2
2804184,8,15,1200,2,2,120,2
2804028,13,4,580,1,1,40,1
2804013,14,15,1250,2,2,90,2
2804002,10,16,3800,3,3.5,338,4
2803977,15,15,1450,3,2,127,2
2803942,13,14,2200,2,2.5,160,2
2803905,9,10,750,2,1,44,0
2803766,13,14,1850,2,2,125,2
2803721,15,3,400,2,1,48,0
2803687,13,16,2800,3,2.5,250,2
2803606,12,Santa Catarina Pinula,560,3,1,60,2
2803536,51,16,1500,3,2.5,104,2
2803491,5,15,950,2,2,na,2
2803469,4,10,800,1,0.5,40,1
2803457,11,5,692,1,2,62,1
2803451,5,13,1100,2,2.5,77,2
2803444,6,5,725,1,1,62,1
2803386,3,10,1600,3,2,82,1
2803313,11,16,800,2,2,125,2
2803279,11,5,604,2,1,49,1
2803237,5,9,850,2,2,53,1
2803223,13,10,1275,3,2,na,2
2803190,6,16,750,1,1,46,2
2803172,4,14,1200,3,2,102,2
2802771,6,15,250000,2,2,113,2
2802760,48,14,2200,2,2.5,160,2
2802694,45,14,2200,2,2.5,160,2
2802683,10,14,750800,2,2,96,2
2802586,15,14,1625,3,3,139,2
2802472,10,10,1000,2,2,70,2
2802333,7,13,750,1,1,43,0
2802315,17,14,7500,4,5,809,4
2802261,5,15,1150,2,3,105,2
2802197,5,14,1000,2,2,106,2
2802090,7,10,900,2,2,76,2
2802018,12,16,734,2,2,70,2
2802001,51,11,1013,3,2.5,127,2
2801985,8,Santa Catarina Pinula,654,3,2,100,3
2801953,6,16,470,2,1,na,1
2801945,7,16,712,3,2,97,2
2801938,6,16,1300,2,2,na,2
2801917,5,2,585,3,2,na,2
2801848,3,10,1100,1,1,46,1
2801803,13,10,840,1,1,55,1
2801720,8,15,1500,3,2,97,2
2801684,13,16,1200,2,2,na,2
2801664,8,10,800,1,1,na,1
2801656,7,5,790,2,1,50,1
2801496,14,4,775,1,1,40,1
2801357,10,10,1300,2,2.5,116,2
2801247,12,10,1150,2,2,116,2
2800986,38,14,1800,2,2.5,na,2
2800684,5,10,1100,1,1,46,1
2800653,47,16,2800,3,4.5,250,2
2800646,8,14,900,2,2,120,2
2800618,11,11,705,3,2,80,2
2800491,6,16,485,1,1,90,1
2800477,13,4,720,3,2,88,2
2800475,10,15,5850,2,2,68,1
2800472,47,15,1275,2,2,102,2
2800451,10,13,850,2,1,87,1
2800410,13,11,600,1,1,64,1
2800397,12,15,800,1,2,72,1
2800383,13,13,1100,2,2,77,2
2800381,1,14,875,1,1,72,1
2800257,10,14,1150,3,2,88,2
2800235,8,16,1750,3,2.5,108,2
2800144,30,11,8853,3,2,80,2
2800139,7,11,7753,3,2,110,2
2800132,30,11,10353,3,2.5,127,2
2800123,6,4,6453,3,1,na,1
2800118,10,Santa Catarina Pinula,5803,3,2,81,2
2800098,11,15,800,1,1,80,1
2800065,12,10,116750,10,36,"7,985",369
2799961,12,14,2200,2,2,159,2
2799885,9,4,580,1,1,na,1
2799871,13,15,1200,3,2.5,147,2
2799785,4,16,600,2,1,52,2
2799661,10,Carretera a El Salvador,1900,2,1.5,124,1900
2799645,5,14,1100,2,2,90,1
2799506,14,15,1075,2,2,67,2
2799318,11,11,765,3,2,105,2
2799273,6,7,697,3,2,105,2
2799158,46,13,750,2,2,112,2
2799012,14,10,1400,3,2,85,2
2798927,12,16,800,2,2,na,2
2798911,15,10,830,1,1,40,1
2798065,11,13,705,1,1,45,1
2797987,49,16,3800,3,3.5,337,4
2797957,11,10,1175,2,2.5,79,2
