id,camaras,area,precio,habitaciones,banos,tamano,parqueos
2813637,12,10,830.0,3,2.0,100.0,2
2813561,11,15,1200.0,2,2.0,116.0,2
2813194,7,16,6850.0,1,1.0,45.0,1
2812979,11,16,850.0,3,2.0,100.0,2
2812849,12,4,388.0,3,1.0,95.0,1
2812818,9,14,1000.0,1,2.0,100.0,1
2812740,42,16,1200.0,2,2.0,70.0,2
2812724,8,10,697.0,2,1.0,43.0,1
2812710,10,13,842.0,3,2.0,150.0,3
2812689,6,14,900.0,1,1.5,96.0,2
2812662,10,13,650.0,1,1.0,32.0,1
2812650,11,12,712.0,2,2.0,58.0,1
2812498,12,15,950.0,2,2.0,115.0,2
2812408,48,10,1000.0,2,2.0,70.0,3
2812283,45,15,1950.0,3,2.5,154.0,3
2812222,51,14,1500.0,3,2.5,140.0,2
2812186,11,16,1600.0,3,2.0,91.0,2
2812092,45,14,5600.0,3,3.5,342.0,3
2812186,11,16,1600.0,3,2.0,91.0,2
2812092,45,14,5600.0,3,3.5,342.0,3
2812039,17,14,2960.0,2,3.0,295.0,2
2811940,45,16,2500.0,3,3.0,230.0,2
2811679,9,10,1300.0,2,2.0,80.0,2
2811651,10,10,2100.0,3,2.0,114.0,2
2811627,10,10,750.0,1,1.0,70.0,1
2811604,45,16,825.0,3,2.0,83.0,2
2811559,51,10,1200.0,1,1.0,105.0,2
2811525,10,15,1300.0,2,2.5,135.0,2
2811481,8,16,875.0,3,2.0,80.0,2
2811456,15,10,1800.0,2,2.5,222.0,2
2811388,7,16,3800.0,3,4.0,338.0,4
2811340,45,16,2500.0,3,2.5,230.0,2
2810833,51,10,18003.0,3,2.5,120.0,3
2810828,45,15,15003.0,3,2.0,198.0,2
2810768,45,16,600.0,2,1.0,45.0,1
2810754,13,15,1100.0,2,1.5,77.0,2
2810692,10,14,875.0,1,1.0,72.0,1
2810680,11,13,1100.0,2,2.0,75.0,2
2810675,4,14,850.0,2,2.0,67.0,2
2810660,14,14,1100.0,3,2.5,225.0,2
2810574,8,16,3800.0,3,3.5,337.0,4
2810514,45,14,1950.0,2,2.5,228.0,2
2810431,26,14,2500.0,2,2.5,146.0,2
2810345,45,4,695.0,2,1.0,100.0,2
2810274,6,15,775.0,2,1.0,86.0,2
2810256,5,13,1300.0,3,3.0,195.0,1
2810215,8,1,580.0,2,1.0,80.0,1
2810200,14,4,760.0,2,2.0,74.0,1
2810192,7,10,950.0,1,2.0,90.0,2
2810172,6,10,1600.0,3,2.0,167.0,2
2810053,48,11,650.0,1,1.0,33.0,1
2810005,3,16,1700.0,2,2.0,80.0,1
2809871,5,15,1000.0,2,2.0,66.0,2
2809829,1,16,1900.0,3,2.5,117.0,2
2809817,5,15,1275.0,2,2.5,101.0,2
2809805,7,16,3200.0,3,2.5,200.0,2
2809737,9,10,2000.0,3,2.0,125.0,2
2809702,7,16,1700.0,2,2.0,80.0,1
2809582,12,Santa Catarina Pinula,566.0,3,2.0,64.0,2
2809568,10,8,500.0,2,1.0,100.0,2
2809459,51,Carretera a El Salvador,600.0,2,2.0,75.0,2
2809348,12,14,1250.0,3,2.0,139.0,2
2809298,16,14,2700.0,2,2.5,295.0,2
2809286,17,11,640.0,2,2.0,59.0,1
2809235,6,14,900.0,2,2.0,70.0,2
2809123,45,14,2800.0,2,2.5,240.0,2
2809014,12,15,1700.0,2,2.5,147.0,3
2808936,10,14,2800.0,2,2.0,240.0,2
2808761,8,16,1450.0,2,2.0,80.0,2
2808710,6,9,800.0,2,1.0,70.0,2
2808611,8,13,8052.0,2,1.0,55.0,2
2808609,10,16,14502.0,2,2.0,102.0,2
2808484,9,16,1200.0,2,2.0,70.0,2
2808387,10,16,1450.0,2,2.0,160.0,2
2808347,10,15,775.0,2,1.0,86.0,2
2808164,9,14,1950.0,2,2.5,228.0,2
