id,titulo,enlace,imagen_principal,camaras,area,ciudad,precio,descripcion,habitaciones,banos,tamano,parqueos
2811481,Alquilo apartamento amueblado en Bosques de Euskadi zona 16,https://mapainmueble.com/properties/alquilo-apartamento-amueblado-en-bosques-de-euskadi-zona-16-caa13536/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-23-67bbc10f173b2-835x467.webp,8,Zona 16,"*Guatemala, Ciudad",$ 875,Alquilo apartamento amueblado en Bosques de Euskadi zona 16 80 mts de construccion Sala Co...,3,2,80 m2,2
2811456,Alquilo apartamento en Atrium zona 10,https://mapainmueble.com/properties/alquilo-apartamento-en-atrium-zona-10-caa13535/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-23-67bbc0c6cd4c6-600x467.webp,15,Zona 10,"*Guatemala, Ciudad","$ 1,800",Alquilo apartamento en Atrium zona 10 incluye linea blanca 222 mts de construccion Apartam...,2,2.5,222 m2,2
2811388,Alquilo amplio apartamento en Acantos zona 16,https://mapainmueble.com/properties/alquilo-amplio-apartamento-en-acantos-zona-16-daa43653/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-20-67b7527e7c009-600x467.webp,7,Zona 16,"*Guatemala, Ciudad","$ 3,800",Apartamento de los mas amplios cuenta con: Área: 337.52 mt2 3 habitaciones  Dormitorio pri...,3,4,338 m2,4
2811340,"Apartamento en alquiler Balyana Encinos de Cayala 3, zona 16 (D)",https://mapainmueble.com/properties/apartamento-en-alquiler-balyana-encinos-de-cayala-3-zona-16-d-daa43713/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-23-67bbaaf78e89d-2-835x467.webp,45,Zona 16,"*Guatemala, Ciudad","$ 2,500",Encinos de Cayala 3 Balyana  3 habitaciones (Principal con walk in closet y baño) Secundar...,3,2.5,230 m2,2
2811288,"RENTO APTO 2 HAB Z.4 QUO REF.6681 *93M2, 2 HAB, 2 BAÑOS,  BALCON, 1 PARQUEO, LINEA BLANCA, Q.8000*",https://mapainmueble.com/properties/rento-apto-2-hab-z4-quo-ref6681-93m2-2-hab-2-banos-balcon-1-parqueo-linea-blanca-q8000-caa13534/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-23-67bba77b988b4-2-600x467.webp,51,Zona 4,"*Guatemala, Ciudad",$ 2,"RENTO APTO 2 HAB Z.4 QUO REF.6681 *93M2, 2 HAB, 2 BAÑOS, BALCON, 1 PARQUEO, LINEA BLANCA, ...",2,na,na,0
2811277,RENTO APTO 2 HAB Z.14 EDIF. SANTORINI EUROPLAZA REF.6716,https://mapainmueble.com/properties/rento-apto-2-hab-z14-edif-santorini-europlaza-ref6716-caa13533/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-23-67bba59d7dc21-586x467.webp,10,Zona 14,"*Guatemala, Ciudad",$ 750800,"RENTO APTO 2 HAB Z.14 EDIF. SANTORINI EUROPLAZA REF.6716 *92M2, 2 HAB, 2 BAÑOS, 2 PARQUEOS...",2,2,2 m2,0
2811168,"RENTO APTO 2 HAB  Z.9 EDIF. CENDANA REF.6693 * 55M2, 2 HAB, 2 BAÑOS, 2 PARQUEOS SEPARADOS, LINEA BLANCA*",https://mapainmueble.com/properties/rento-apto-2-hab-z9-edif-cendana-ref6693-55m2-2-hab-2-banos-2-parqueos-separados-linea-blanca-caa13532/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-23-67bb801310fc6-1-835x467.webp,32,Zona 9,"*Guatemala, Ciudad",$ 2,"RENTO APTO 2 HAB Z.9 EDIF. CENDANA REF.6693 * 55M2, 2 HAB, 2 BAÑOS, 2 PARQUEOS SEPARADOS, ...",2,2,na,0
2811154,"RENTO APTO 2 HAB Z.15 VERDINO REF.6728 *116M2, 2 HAB, 2 BAÑOS, 2 PARQUEOS, BALCON, LINEA BLANCA, $1200*",https://mapainmueble.com/properties/rento-apto-2-hab-z15-verdino-ref6728-116m2-2-hab-2-banos-2-parqueos-balcon-linea-blanca-1200-caa13531/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-23-67bb7ec7a2ef3-600x467.webp,13,Zona 15,"*Guatemala, Ciudad","$ 1,200","RENTO APTO 2 HAB Z.15 VERDINO REF.6728 *116M2, 2 HAB, 2 BAÑOS, 2 PARQUEOS, BALCON, LINEA B...",2,na,na,0
2810828,"Zona 15, VHI • Apartamento en renta • Edificio La Barraca",https://mapainmueble.com/properties/zona-15-vhi-apartamento-en-renta-edificio-la-barraca-daa43710/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-22-67ba6e6a3b98d-2-835x467.webp,45,Zona 15,"*Guatemala, Ciudad","$ 1,5003 habitaciones","-Renta Incluye mantenimiento Más IVA -Renta amueblado $1,600.ºº Incluye mantenimiento Más ...",3,2,198 m2,2
2810768,"Apartamento en alquiler Lares 16, Zona 16 (D)",https://mapainmueble.com/properties/apartamento-en-alquiler-lares-16-zona-16-d-daa43709/,https://mapainmueble.com/wp-content/uploads/2025/02/2025-02-22-67ba6bda28d04-2-835x467.webp,45,Zona 16,"*Guatemala, Ciudad",$ 600,Lindo apartamento en alquiler ubicado en San Gaspar zona 16. El apartamento de 45 mts2 cue...,2,1,45 m2,1
